3042	A1755	SUPA, Scottish Universities Physics Alliance
	3057	Durham University, UK
3057	151525	Durham University, Department of Earth Sciences
3057	151527	Durham University, Department of Physics
	3065	Duke University
3065	101571	Duke University, Pratt School of Engineering
3065	242248	Duke University, Department of Physics
3065	A1040	Triangle Universities Nuclear Laboratory
	3066	North Carolina Central University
	3067	University of New Hampshire
3067	A1024	University of New Hampshire, Department of Physics and Astronomy
	3078	Michigan State University
3078	369416	Michigan State University, Department of Physics and Astronomy
3078	A1078	Michigan State University, National Superconducting Cyclotron Laboratory
	3091	Lafayette College
	3092	Stonehill College
	3111	University of Cagliari
3111	A1382	University of Cagliari, Department of Physics
	3120	Heriot Watt University
3120	A1755	SUPA, Scottish Universities Physics Alliance
	3121	Edinburgh Napier University
	3124	University of Edinburgh
3124	151023	University of Edinburgh, School of Mathematics
3124	405902	University of Edinburgh, Center for Astrobiology
3124	42207	Royal Observatory Edinburgh
3124	70448	University of Edinburgh, School of Geosciences
3124	97088	University of Edinburgh, School of Physics and Astronomy
3124	97089	University of Edinburgh, Institute for Astronomy
3124	A1755	SUPA, Scottish Universities Physics Alliance
	3151	MacEwan University
